результаты в табличном виде:
https://docs.google.com/spreadsheets/d/1nGiAhGcIHm1QikKIbAN_krccRdjT34EOUSx4z0APf2s/edit?usp=sharing

Шрифты	Размер	Цвет текста	Подчеркивание	Цвет подчеркивания	Начертание	Зачеркнутый	Двойное зачеркивание	Надстрочный	Подстрочный	Сдвиг	Малые прописные	Все прописные	Выровнять высоту знаков
Tahoma	10.5	цвет из политры	двойная линия	нет	курсив	true	false	true	false	50	false	false	true
Malgun Gothic	24	стандартный	двойная линия	нет	обычный	false	true	false	false	0	false	false	true
Bookman Old Style	48	стандартный	нет	нет	обычный	false	false	true	false	50	false	true	false
Calibri	10.5	цвет из политры	жирная линия	стандартный	полужирный курсив	false	true	true	false	50	false	true	true
Cambria	11	цвет из политры	одинарная линия	стандартный	курсив	false	true	true	false	100	false	true	true
Lucida Sans Unicode	48	цвет из политры	одинарная линия	цвет из политры	полужирный	true	false	true	false	50	false	true	false
TW Cen MT	9	стандартный	двойная линия	цвет из политры	обычный	false	true	true	false	50	false	false	false
SimSun	12	цвет из политры	нет	нет	полужирный курсив	false	false	false	false	0	true	false	true
TH SarabunPSK	10	стандартный	одинарная линия	нет	обычный	true	false	true	false	100	true	false	false
Bookman Old Style	40	стандартный	жирная пунктирная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	true
Gill Sans MT	11	стандартный	жирная линия	цвет из политры	полужирный	false	true	true	false	50	false	true	true
Georgia	24	стандартный	жирная линия	нет	обычный	false	false	false	false	0	false	false	false
MS Gothic	14	стандартный	одинарная линия	нет	обычный	false	false	false	false	0	false	true	true
MS PGothic	32	стандартный	пунктирная линия	стандартный	полужирный курсив	false	true	true	false	50	true	false	true
Calibri Light	48	стандартный	жирная линия	стандартный	обычный	false	true	true	false	100	true	false	true
Century Gothic	20	стандартный	одинарная линия	стандартный	курсив	true	false	true	false	50	true	false	true
Segoe UI Light	24	стандартный	пунктирная линия	цвет из политры	полужирный курсив	true	false	false	false	0	true	false	false
Calibri Light	72	цвет из политры	нет	нет	курсив	false	true	true	false	50	false	false	true
Gautami	96	цвет из политры	двойная линия	стандартный	полужирный	false	true	true	false	50	false	true	true
Candara	9	стандартный	жирная пунктирная линия	стандартный	полужирный	true	false	false	false	0	true	false	false
Arial	32	цвет из политры	одинарная линия	цвет из политры	полужирный курсив	false	true	true	false	100	true	false	false
Bookman Old Style	80	стандартный	двойная линия	стандартный	обычный	true	false	true	false	50	false	true	true
Garamond	20	стандартный	одинарная линия	цвет из политры	полужирный курсив	false	false	false	false	0	true	false	true
MS PGothic	8	стандартный	жирная линия	нет	курсив	false	true	false	false	0	false	false	false
Candara	66	цвет из политры	пунктирная линия	цвет из политры	обычный	false	true	true	false	100	false	false	true
Garamond	9	стандартный	жирная линия	нет	обычный	false	false	true	false	50	false	false	false
Sylfaen	18	цвет из политры	пунктирная линия	цвет из политры	обычный	true	false	true	false	100	false	true	true
Calibri	40	стандартный	жирная пунктирная линия	стандартный	полужирный курсив	false	false	true	false	100	false	false	true
Corbel	11	цвет из политры	двойная линия	стандартный	полужирный курсив	false	false	true	false	100	true	false	true
Times	32	стандартный	двойная линия	нет	курсив	true	false	false	false	0	false	true	false
Gill Sans MT	24	цвет из политры	жирная линия	цвет из политры	полужирный курсив	false	false	false	false	0	false	true	false
Calibri	10	цвет из политры	жирная линия	цвет из политры	курсив	false	true	true	false	100	false	true	true
Tahoma	24	цвет из политры	пунктирная линия	стандартный	курсив	true	false	true	false	50	false	false	true
Times	96	стандартный	одинарная линия	стандартный	обычный	false	false	false	false	0	false	true	true
Century Schoolbook	20	цвет из политры	пунктирная линия	стандартный	полужирный курсив	false	true	false	false	0	true	false	false
Courier New	12	стандартный	двойная линия	нет	полужирный курсив	false	false	true	false	100	false	true	false
SimSun	80	цвет из политры	одинарная линия	цвет из политры	полужирный курсив	false	true	false	false	0	false	true	false
Segoe UI	54	цвет из политры	одинарная линия	стандартный	курсив	false	true	true	false	50	true	false	true
Franklin Gothic Book	9	стандартный	одинарная линия	цвет из политры	полужирный курсив	true	false	true	false	100	true	false	false
Comic Sans MS	11	цвет из политры	пунктирная линия	стандартный	полужирный курсив	true	false	false	false	0	false	true	false
Times	18	стандартный	жирная пунктирная линия	стандартный	курсив	false	true	true	false	50	false	true	false
SimSun-ExtB	8	цвет из политры	жирная пунктирная линия	стандартный	курсив	false	true	true	false	50	false	false	true
Trebuchet MS	36	цвет из политры	жирная пунктирная линия	стандартный	обычный	false	true	true	false	50	false	true	false
Sylfaen	60	стандартный	нет	нет	обычный	false	true	false	false	0	false	true	true
Corbel	14	стандартный	двойная линия	нет	обычный	true	false	true	false	100	false	true	false
Verdana	9	цвет из политры	жирная линия	стандартный	полужирный курсив	false	true	true	false	100	false	true	true
Century	48	стандартный	одинарная линия	стандартный	полужирный	false	false	true	false	100	false	true	true
Sylfaen	9	цвет из политры	жирная линия	нет	обычный	false	true	true	false	100	false	true	false
MS Gothic	36	цвет из политры	жирная линия	цвет из политры	курсив	false	false	true	false	50	false	false	false
Lucida Sans Unicode	40	стандартный	пунктирная линия	цвет из политры	полужирный курсив	false	false	false	false	0	false	true	true
MS PGothic	36	стандартный	нет	нет	курсив	true	false	true	false	50	false	false	false
Franklin Gothic Book	72	цвет из политры	жирная пунктирная линия	цвет из политры	курсив	false	false	false	false	0	false	false	false
Franklin Gothic Book	10.5	стандартный	нет	нет	полужирный курсив	false	true	false	false	0	false	true	false
Lucida Sans	10	стандартный	пунктирная линия	цвет из политры	курсив	false	false	false	false	0	false	false	false
Courier New	18	цвет из политры	жирная пунктирная линия	нет	полужирный	false	false	true	false	100	false	false	true
Constantia	16	стандартный	одинарная линия	цвет из политры	курсив	false	true	true	false	50	false	true	true
MPingLiU-ExtB	20	цвет из политры	одинарная линия	стандартный	полужирный	false	true	false	false	0	false	true	false
Franklin Gothic Book	11	стандартный	жирная линия	нет	полужирный	false	false	false	false	0	false	true	false
Sylfaen	88	стандартный	жирная линия	стандартный	курсив	false	false	true	false	50	true	false	true
Franklin Gothic Book	44	стандартный	жирная пунктирная линия	стандартный	обычный	true	false	true	false	50	false	true	false
TH SarabunPSK	12	стандартный	двойная линия	нет	полужирный	false	false	false	false	0	false	true	false
Gautami	11	цвет из политры	пунктирная линия	цвет из политры	обычный	false	true	false	false	0	true	false	false
Century Schoolbook	40	стандартный	жирная пунктирная линия	стандартный	полужирный	true	false	false	false	0	false	false	false
Gautami	48	цвет из политры	одинарная линия	стандартный	обычный	true	false	true	false	50	false	true	false
Rockwell	16	цвет из политры	одинарная линия	нет	обычный	false	false	true	false	100	false	true	false
Century	60	стандартный	двойная линия	цвет из политры	обычный	false	false	true	false	100	false	false	false
TW Cen MT	16	цвет из политры	жирная линия	нет	полужирный	false	true	true	false	100	true	false	false
Garamond	36	цвет из политры	одинарная линия	нет	курсив	false	true	true	false	50	false	false	true
MPingLiU-ExtB	60	цвет из политры	жирная пунктирная линия	стандартный	курсив	false	true	false	false	0	false	true	true
Lucida Sans	16	стандартный	пунктирная линия	нет	обычный	false	false	false	false	0	false	true	true
Lucida Sans Unicode	20	цвет из политры	жирная линия	цвет из политры	курсив	false	true	true	false	100	false	true	false
Bookman Old Style	11	стандартный	жирная линия	стандартный	обычный	false	true	true	false	100	false	true	false
SimSun	36	цвет из политры	одинарная линия	нет	полужирный	false	false	true	false	50	false	true	false
Century Gothic	60	цвет из политры	нет	нет	полужирный	false	false	false	false	0	true	false	false
Sylfaen	66	цвет из политры	двойная линия	стандартный	обычный	false	true	false	false	0	false	false	true
Times	88	стандартный	пунктирная линия	нет	обычный	true	false	true	false	100	false	true	true
Microsoft JhengHei	54	цвет из политры	жирная линия	нет	курсив	false	false	false	false	0	true	false	true
Tahoma	12	цвет из политры	двойная линия	нет	полужирный курсив	true	false	true	false	100	false	true	false
Candara	48	цвет из политры	жирная линия	стандартный	курсив	false	false	true	false	50	false	false	true
Century Gothic	96	стандартный	жирная линия	стандартный	курсив	false	true	true	false	50	true	false	true
Microsoft YaHei	14	стандартный	одинарная линия	нет	обычный	true	false	true	false	50	false	true	true
TH SarabunPSK	16	стандартный	жирная пунктирная линия	нет	полужирный курсив	false	false	true	false	50	false	true	true
Microsoft YaHei	11	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный курсив	false	false	false	false	0	false	false	true
Candara	16	цвет из политры	пунктирная линия	стандартный	полужирный	false	true	true	false	50	true	false	true
Times	54	цвет из политры	двойная линия	стандартный	обычный	false	true	false	false	0	false	true	true
Comic Sans MS	18	стандартный	пунктирная линия	цвет из политры	обычный	false	false	true	false	100	true	false	false
Century Gothic	8	цвет из политры	жирная линия	нет	обычный	false	false	true	false	100	false	false	false
SimSun-ExtB	44	цвет из политры	пунктирная линия	стандартный	полужирный курсив	true	false	true	false	50	false	true	true
MPingLiU-ExtB	80	стандартный	пунктирная линия	стандартный	курсив	true	false	true	false	100	false	true	false
Sylfaen	28	стандартный	двойная линия	нет	полужирный	true	false	false	false	0	false	false	true
Verdana	88	цвет из политры	жирная линия	стандартный	курсив	false	true	true	false	100	false	true	false
Times	80	цвет из политры	двойная линия	цвет из политры	обычный	false	true	false	false	0	true	false	true
Book Antiqua	18	стандартный	жирная пунктирная линия	цвет из политры	курсив	false	true	false	false	0	true	false	false
SimSun	40	цвет из политры	жирная пунктирная линия	цвет из политры	курсив	false	true	true	false	100	false	false	true
Malgun Gothic	16	цвет из политры	жирная пунктирная линия	цвет из политры	курсив	false	true	false	false	0	false	true	false
Century Schoolbook	96	цвет из политры	пунктирная линия	цвет из политры	полужирный	true	false	false	false	0	false	true	false
Microsoft YaHei	44	стандартный	пунктирная линия	цвет из политры	обычный	false	true	true	false	100	false	true	true
Cambria	88	стандартный	пунктирная линия	стандартный	полужирный курсив	false	true	false	false	0	false	true	false
Courier New	20	стандартный	жирная линия	цвет из политры	курсив	false	true	true	false	50	false	true	true
Lucida Sans Unicode	8	стандартный	двойная линия	стандартный	обычный	false	true	true	false	100	true	false	false
MS Gothic	54	стандартный	нет	нет	полужирный	false	true	true	false	100	false	true	false
Microsoft YaHei	10	цвет из политры	жирная линия	нет	обычный	false	true	true	false	50	true	false	true
MS PGothic	11	цвет из политры	одинарная линия	цвет из политры	полужирный	false	true	false	false	0	true	false	true
Microsoft YaHei	66	цвет из политры	одинарная линия	цвет из политры	полужирный	false	false	true	false	50	false	true	true
MPingLiU-ExtB	18	стандартный	одинарная линия	нет	полужирный курсив	false	false	false	false	0	true	false	true
MPingLiU-ExtB	66	стандартный	пунктирная линия	стандартный	полужирный курсив	false	true	true	false	100	true	false	true
Malgun Gothic	20	цвет из политры	жирная линия	стандартный	полужирный	false	false	true	false	100	true	false	true
Rockwell	60	цвет из политры	одинарная линия	цвет из политры	полужирный	false	true	true	false	100	false	false	false
Comic Sans MS	40	стандартный	двойная линия	стандартный	обычный	true	false	true	false	100	false	true	true
MS Gothic	72	стандартный	одинарная линия	стандартный	полужирный	false	true	true	false	100	true	false	true
Consolas	66	цвет из политры	жирная пунктирная линия	стандартный	полужирный	false	true	true	false	100	false	true	false
Century Schoolbook	28	цвет из политры	жирная пунктирная линия	стандартный	полужирный курсив	false	false	false	false	0	false	true	true
TH SarabunPSK	80	стандартный	жирная пунктирная линия	стандартный	полужирный курсив	false	true	true	false	100	false	true	false
Georgia	40	цвет из политры	жирная линия	цвет из политры	полужирный курсив	false	true	false	false	0	false	true	true
Georgia	10.5	стандартный	пунктирная линия	стандартный	полужирный	true	false	true	false	100	true	false	false
SimSun	48	стандартный	нет	нет	курсив	false	true	true	false	50	false	false	false
Verdana	80	стандартный	одинарная линия	нет	полужирный курсив	true	false	true	false	100	false	false	false
Century	24	стандартный	жирная линия	стандартный	полужирный	false	false	false	false	0	false	true	false
MS Gothic	18	цвет из политры	двойная линия	стандартный	полужирный курсив	false	true	true	false	100	false	false	false
Tahoma	36	стандартный	одинарная линия	нет	курсив	false	true	true	false	50	false	false	false
Century Schoolbook	8	стандартный	одинарная линия	нет	обычный	false	true	true	false	100	true	false	true
Gill Sans MT	10	стандартный	нет	нет	обычный	false	true	false	false	0	true	false	false
Constantia	88	стандартный	жирная пунктирная линия	нет	обычный	false	true	false	false	0	false	true	false
Sylfaen	12	стандартный	пунктирная линия	цвет из политры	курсив	false	true	false	false	0	false	true	false
Rockwell	12	цвет из политры	жирная пунктирная линия	цвет из политры	обычный	true	false	false	false	0	false	true	false
Courier New	14	цвет из политры	пунктирная линия	цвет из политры	курсив	true	false	true	false	50	false	true	true
Arial Black	8	цвет из политры	жирная линия	нет	обычный	false	true	false	false	0	true	false	true
Calibri Light	16	цвет из политры	одинарная линия	нет	полужирный	true	false	false	false	0	false	false	false
Century Gothic	18	цвет из политры	пунктирная линия	цвет из политры	обычный	false	true	true	false	100	false	false	true
MS PGothic	24	стандартный	одинарная линия	стандартный	обычный	false	false	false	false	0	true	false	true
MPingLiU-ExtB	48	стандартный	жирная линия	нет	полужирный курсив	false	true	true	false	100	false	true	true
Calibri Light	8	цвет из политры	одинарная линия	стандартный	курсив	true	false	true	false	100	false	false	false
MPingLiU-ExtB	54	цвет из политры	жирная линия	цвет из политры	полужирный	true	false	false	false	0	false	true	false
Microsoft JhengHei	60	цвет из политры	нет	нет	полужирный	true	false	false	false	0	false	true	false
Sylfaen	10.5	цвет из политры	двойная линия	стандартный	полужирный	false	true	true	false	100	true	false	false
Georgia	8	стандартный	жирная пунктирная линия	нет	обычный	false	true	true	false	50	false	true	false
MPingLiU-ExtB	10	стандартный	пунктирная линия	нет	обычный	false	true	false	false	0	false	false	true
Microsoft JhengHei	28	цвет из политры	одинарная линия	цвет из политры	полужирный	true	false	false	false	0	false	true	false
Rockwell	9	стандартный	пунктирная линия	нет	обычный	false	true	false	false	0	false	true	false
Times	20	стандартный	пунктирная линия	цвет из политры	полужирный	true	false	true	false	50	true	false	true
Courier New	10	цвет из политры	двойная линия	стандартный	обычный	false	true	true	false	50	false	false	true
Arial Black	24	стандартный	пунктирная линия	стандартный	обычный	true	false	false	false	0	false	false	false
Arial	80	стандартный	нет	нет	полужирный курсив	false	false	true	false	50	false	true	true
Corbel	28	цвет из политры	пунктирная линия	нет	полужирный	false	true	false	false	0	false	false	true
Arial	10.5	цвет из политры	жирная пунктирная линия	нет	полужирный	false	false	true	false	50	false	true	true
Sylfaen	54	стандартный	жирная пунктирная линия	стандартный	полужирный	false	true	false	false	0	true	false	false
Book Antiqua	14	стандартный	жирная линия	нет	курсив	false	true	true	false	100	false	false	false
Arial Black	80	цвет из политры	двойная линия	нет	полужирный	false	false	true	false	100	true	false	false
SimSun	10.5	стандартный	жирная линия	цвет из политры	курсив	false	false	true	false	50	false	true	true
Book Antiqua	10	стандартный	жирная линия	цвет из политры	полужирный	true	false	true	false	100	false	false	true
Candara	28	стандартный	пунктирная линия	стандартный	полужирный курсив	true	false	false	false	0	false	true	false
Lucida Sans Unicode	66	стандартный	нет	нет	обычный	true	false	true	false	50	false	true	true
Arial	28	цвет из политры	пунктирная линия	нет	обычный	false	true	false	false	0	false	true	true
Sylfaen	20	цвет из политры	пунктирная линия	цвет из политры	курсив	true	false	true	false	100	false	true	false
Tahoma	20	цвет из политры	жирная пунктирная линия	нет	полужирный	false	true	true	false	100	false	true	false
TW Cen MT	60	стандартный	одинарная линия	нет	полужирный курсив	false	false	false	false	0	false	false	false
TW Cen MT	24	стандартный	пунктирная линия	нет	обычный	false	false	true	false	100	false	false	false
Segoe UI	20	стандартный	одинарная линия	нет	обычный	false	true	true	false	100	false	true	false
Garamond	28	цвет из политры	пунктирная линия	стандартный	полужирный курсив	false	false	true	false	100	false	true	false
Calibri Light	80	стандартный	пунктирная линия	цвет из политры	полужирный курсив	true	false	true	false	50	false	true	true
Bookman Old Style	10.5	цвет из политры	одинарная линия	цвет из политры	полужирный	false	false	true	false	100	true	false	false
Century Gothic	36	стандартный	пунктирная линия	стандартный	курсив	false	true	true	false	100	true	false	true
SimSun	18	цвет из политры	жирная пунктирная линия	нет	курсив	false	true	true	false	100	false	true	false
Century Gothic	16	цвет из политры	жирная линия	стандартный	полужирный курсив	true	false	true	false	100	false	true	false
Malgun Gothic	48	цвет из политры	одинарная линия	нет	полужирный	true	false	true	false	100	false	false	false
Century Gothic	54	цвет из политры	жирная линия	цвет из политры	полужирный	false	true	true	false	50	false	true	true
SimSun	60	стандартный	жирная линия	стандартный	курсив	false	false	true	false	100	true	false	true
Segoe UI Light	80	цвет из политры	жирная пунктирная линия	цвет из политры	курсив	false	false	true	false	100	false	true	true
Franklin Gothic Medium	96	стандартный	жирная пунктирная линия	цвет из политры	полужирный	false	true	true	false	100	false	true	true
Candara	12	стандартный	жирная пунктирная линия	стандартный	курсив	false	true	false	false	0	false	true	false
MS PGothic	48	цвет из политры	жирная линия	нет	курсив	true	false	true	false	100	true	false	true
Times New Roman	20	цвет из политры	одинарная линия	нет	полужирный курсив	false	true	true	false	50	false	true	false
Comic Sans MS	60	стандартный	двойная линия	цвет из политры	полужирный	true	false	true	false	50	false	true	true
Garamond	72	стандартный	двойная линия	нет	полужирный	false	true	true	false	50	true	false	true
Candara	88	цвет из политры	двойная линия	нет	полужирный курсив	true	false	true	false	50	false	true	false
Garamond	14	цвет из политры	жирная линия	стандартный	полужирный	false	true	true	false	50	true	false	false
Arial Black	12	стандартный	двойная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	false
Garamond	8	цвет из политры	жирная линия	нет	полужирный	false	true	true	false	100	true	false	false
Segoe UI Light	10.5	цвет из политры	двойная линия	цвет из политры	полужирный курсив	false	false	true	false	100	false	true	false
Garamond	12	цвет из политры	жирная линия	стандартный	обычный	true	false	false	false	0	false	true	true
Cambria	9	цвет из политры	одинарная линия	стандартный	полужирный	false	true	false	false	0	true	false	true
Book Antiqua	10.5	цвет из политры	двойная линия	нет	полужирный курсив	true	false	true	false	100	false	false	false
MS Gothic	96	цвет из политры	двойная линия	цвет из политры	курсив	false	true	true	false	50	false	true	false
Lucida Sans	66	цвет из политры	двойная линия	цвет из политры	обычный	false	false	false	false	0	false	true	false
Calibri	66	цвет из политры	одинарная линия	цвет из политры	полужирный	false	true	true	false	50	false	true	false
Constantia	60	цвет из политры	двойная линия	цвет из политры	полужирный	true	false	true	false	100	true	false	false
Century	9	цвет из политры	двойная линия	цвет из политры	обычный	false	false	true	false	100	false	false	true
Segoe UI Light	18	цвет из политры	пунктирная линия	стандартный	полужирный	true	false	false	false	0	false	false	true
Franklin Gothic Medium	12	цвет из политры	одинарная линия	цвет из политры	полужирный	false	true	false	false	0	false	true	true
Calibri	72	цвет из политры	жирная линия	стандартный	полужирный	false	true	false	false	0	false	true	false
